       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,1,1,2,1,4,5,5,1,6,3,9,12,1,3,4,18,33,51,4,13,17,7,8,15,3,5,8,11,4,15,135
"Amebiasis intestinal(A06.0-A06.3, A06.9)",3,,3,2,3,5,7,2,9,5,15,20,4,6,10,1,,1,12,4,16,7,4,11,4,3,7,2,,2,3,6,9,93
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,,,1,,1,4,,4,1,2,3,,,,1,,1,,,,,,,,1,1,,1,1,11
Ascariasis(B77),,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1
"Asma(J45, J46)",2,,2,41,57,98,48,76,124,16,29,45,11,3,14,7,,7,23,9,32,4,2,6,19,6,25,9,6,15,19,6,25,393
Brucelosis(A23),,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,,,,3,,3,2,1,3,21,1,22,9,,9,15,,15,4,1,5,8,1,9,66
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,3,4,,5,5,,4,4,16
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
Conjuntivitis(H10),24,34,58,146,165,311,195,198,393,100,113,213,70,39,109,28,21,49,329,312,641,133,102,235,316,243,559,143,101,244,371,273,644,3456
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,,,,2,2,2,,2,,2,2,,,,1,1,2,,1,1,,,,,,,1,2,3,12
COVID-19(U07.1-U07.2),1,2,3,4,4,8,9,7,16,8,7,15,10,7,17,2,6,8,117,116,233,36,38,74,84,65,149,33,20,53,71,67,138,714
Dengue con signos de alarma(A97.1),,,,1,1,2,,2,2,1,1,2,,4,4,2,,2,4,1,5,2,1,3,4,3,7,1,3,4,3,8,11,42
Dengue grave(A97.2),,1,1,,,,,,,,1,1,,,,,,,,1,1,1,,1,,,,,1,1,,1,1,6
"Dengue no grave(A97.0, A97.9)",,,,2,3,5,5,8,13,9,21,30,4,13,17,4,1,5,17,13,30,3,9,12,3,6,9,5,3,8,1,6,7,136
Depresión(F32),,,,,,,,,,13,3,16,15,10,25,6,4,10,12,3,15,8,2,10,10,2,12,10,3,13,14,8,22,123
Desnutrición leve(E44.1),,,,4,2,6,,2,2,,1,1,,1,1,,,,,,,,,,,,,,,,1,,1,11
Desnutrición moderada(E44.0),,,,2,,2,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,2,2,6
Desnutrición severa(E40-E43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,6
Diabetes mellitus tipo 1(E10),,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,,,,,,,,5,5,80,69,149,73,58,131,154,126,280,47,53,100,103,87,190,855
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,1,,1,,,,12,,12,2,,2,10,,10,,,,2,,2,27
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,3,,3,6,,6,6,,6,2,,2,2,,2,19
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,3,,3,1,,1,,,,,,,,,,4
"Efectos del calor y de la luz(T67, X30)",,,,,,,1,,1,2,1,3,,2,2,,1,1,2,1,3,,,,,2,2,1,1,2,2,1,3,17
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,2,2,,,,,4,4,,3,3,3,9,12,21
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,,,,,,1,,1,3,5,8,8,1,9,14,14,28,11,17,28,102,106,208,282
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3,5,8,9
Enfermedad febril exantemática(U97),,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,,,5,10,15,1,13,14,19,40,59,23,29,52,97,106,203,343
Enterobiasis(B80),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Erisipela(A46),,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,2,1,3,5,9,14,20
Escabiosis(B86),,1,1,3,4,7,4,2,6,3,8,11,4,,4,1,,1,6,4,10,1,,1,10,,10,2,1,3,16,9,25,79
Escarlatina(A38),,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,1,1,1,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,1,1,3,4,7,5,3,8,5,,5,1,1,2,,1,1,5,2,7,,1,1,,4,4,2,2,4,4,2,6,46
Fiebre reumática aguda(I00-I02),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
Fiebre tifoidea(A01.0),,,,,,,,2,2,3,,3,,,,1,1,2,1,,1,2,,2,2,,2,,,,1,,1,13
Giardiasis(A07.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Gingivitis y enfermedad periodontal(K05),1,,1,10,6,16,41,39,80,58,66,124,92,78,170,78,58,136,374,297,671,147,117,264,398,309,707,174,154,328,418,373,791,3288
Hepatitis vírica A(B15),,,,,,,1,2,3,,,,,4,4,,1,1,,7,7,2,2,4,,,,,,,,,,19
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,1,3
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,1,,1,,1,1,,,,,3,3,1,,1,3,,3,9
Herpes genital(A60.0),,,,,,,,,,,,,,,,1,,1,1,3,4,,1,1,2,,2,,2,2,,1,1,11
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,1,1,,2,2,,25,25,,21,21,,48,48,97
Hipertensión arterial(I10-I15),,,,,,,,,,,,,,,,1,2,3,67,86,153,68,52,120,131,131,262,60,64,124,128,104,232,894
Infección asociada a la atención de la salud(S/C),2,1,3,,1,1,,1,1,1,,1,,,,1,2,3,5,9,14,2,3,5,14,11,25,8,7,15,29,56,85,153
"Infección de vías urinarias(N30, N34, N39.0)",15,4,19,148,46,194,269,84,353,169,69,238,204,58,262,122,30,152,1136,286,1422,534,163,697,1331,351,1682,694,233,927,2218,877,3095,9041
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,2,2,,1,1,1,2,3,1,1,2,1,1,2,,1,1,,,,11
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,,1,1,3,,3,9,1,10,4,,4,6,1,7,2,,2,1,1,2,29
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",41,54,95,293,325,618,326,354,680,263,305,568,239,216,455,99,71,170,807,693,1500,298,288,586,719,569,1288,313,213,526,767,507,1274,7760
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",447,484,931,2322,2575,4897,3209,3353,6562,2119,2351,4470,1202,1140,2342,503,357,860,4072,3045,7117,1415,1037,2452,3219,2170,5389,1444,902,2346,2799,1918,4717,42083
Influenza(J09-J11),,1,1,5,4,9,7,8,15,8,7,15,3,4,7,1,2,3,29,26,55,9,10,19,30,17,47,11,4,15,24,21,45,231
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,1,,1,1,1,2,16,8,24,23,3,26,53,3,56,26,11,37,81,41,122,268
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,1,2,3,,1,1,,1,1,,,,,1,1,6
Intoxicación alimentaria bacteriana(A05),1,,1,1,3,4,2,5,7,,5,5,1,1,2,,,,6,2,8,1,,1,3,1,4,,2,2,1,2,3,37
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,2,2,,,,2,3,5,2,2,4,1,,1,1,3,4,2,3,5,5,2,7,3,1,4,6,5,11,43
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,,,,1,,1,,1,1,,,,1,2,3,,,,1,1,2,,1,1,,2,2,10
Leishmaniasis cutánea(B55.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Leucemia(C91-C95),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
Linfoma no Hodking(C82-C85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1
Mordeduras por otros mamíferos(W55),,,,,,,,,,2,3,5,2,,2,2,,2,8,2,10,4,1,5,8,1,9,5,3,8,8,2,10,51
Mordeduras por perro(W54),,,,3,3,6,6,8,14,6,17,23,14,19,33,5,4,9,18,19,37,11,4,15,25,23,48,11,5,16,19,30,49,250
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",3,2,5,4,,4,1,2,3,,,,,,,1,,1,5,5,10,3,6,9,12,5,17,7,7,14,65,63,128,191
Obesidad(E66),,1,1,12,14,26,53,69,122,83,103,186,48,43,91,10,14,24,106,61,167,47,33,80,81,60,141,25,18,43,44,24,68,949
Otitis media aguda(H65.0-H65.1),4,5,9,41,41,82,66,56,122,31,27,58,17,22,39,8,5,13,38,32,70,15,6,21,26,22,48,8,6,14,24,22,46,522
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",1,1,2,13,8,21,23,18,41,16,29,45,16,8,24,4,3,7,25,12,37,7,5,12,24,13,37,4,6,10,20,31,51,287
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,1,1,,,,,,,1,,1,1,1,2,,,,,,,,,,,,,4
Otras salmonelosis(A02),,,,,,,,,,1,,1,1,,1,1,,1,3,1,4,1,1,2,3,2,5,,,,,,,14
Parotiditis infecciosa(B26),,,,,3,3,6,3,9,4,1,5,1,,1,,1,1,2,1,3,2,1,3,,,,1,,1,,,,26
Peatón lesionado en accidente de transporte(V01-V09),,,,1,,1,,1,1,,1,1,,,,,,,,1,1,,,,,2,2,,,,2,2,4,10
Quemaduras(T20-T32),,,,2,4,6,,1,1,5,8,13,4,7,11,7,2,9,33,42,75,17,8,25,39,30,69,10,4,14,23,23,46,269
Rabia humana por fauna urbana(A82.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Shigelosis(A03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,1,3
Sífilis congénita(A50),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,2
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,4
Tuberculosis respiratoria(A15-A16),,,,,,,,,,1,,1,1,,1,,1,1,1,3,4,1,1,2,5,1,6,4,,4,4,6,10,29
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,4,,4,2,,2,21,,21,12,,12,28,,28,67
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,4,,10,10,16
Tumor maligno de riñón(C64),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,2,2,4
"Tumor maligno de tráquea, bronquios y pulmón(C33-C34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,2,2,6
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,2,,2,,,,1,,1,1,,1,6,,6,10
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Tumor maligno del páncreas(C25),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,2
Tumores malignos del encéfalo y de otras partes del sistema nervioso central(C70-C72),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,2
"Úlceras, gastritis y duodenitis(K25-K29)",,,,3,1,4,13,12,25,57,40,97,68,30,98,34,11,45,140,68,208,53,33,86,116,58,174,63,43,106,164,99,263,1106
Varicela(B01),,1,1,1,5,6,7,6,13,6,9,15,3,7,10,2,,2,9,4,13,1,1,2,,1,1,1,,1,2,,2,66
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,1,,,,3
Vulvovaginitis(N76),,,,,,,2,,2,,,,4,,4,7,,7,3255,,3255,27,,27,40,,40,16,,16,24,,24,3375
Total general,546,594,1140,3070,3285,6355,4309,4333,8642,3010,3246,6256,2051,1743,3794,951,612,1563,10861,5315,16176,3002,2031,5033,6996,4354,11350,3208,1972,5180,7761,5004,12765,78254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2023 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIO-SEPTIEMBRE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,1,,1,1,1,2,5,3,8,6,14,20,1,,1,25,43,68,7,9,16,7,13,20,2,4,6,4,5,9,151
"Amebiasis intestinal(A06.0-A06.3, A06.9)",,2,2,4,4,8,5,3,8,3,1,4,,3,3,,,,4,5,9,2,1,3,5,4,9,4,3,7,6,4,10,63
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,1,1,2,,1,1,,,,3,,3,1,,1,1,,1,,,,2,,2,,,,,,,10
Ascariasis(B77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
"Asma(J45, J46)",2,2,4,32,40,72,61,75,136,13,27,40,7,8,15,3,1,4,15,8,23,6,2,8,16,4,20,19,7,26,9,7,16,364
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,3,,3,1,,1,1,,1,19,3,22,8,1,9,7,,7,2,2,4,6,4,10,57
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,1,1,3
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Cólera(A00),,,,,,,,1,1,,,,,2,2,,,,2,5,7,,,,2,,2,,,,1,1,2,14
Conjuntivitis(H10),20,27,47,92,98,190,105,118,223,60,72,132,55,40,95,24,20,44,313,320,633,97,127,224,305,242,547,132,99,231,338,252,590,2956
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,,,1,,1,,,,,,,,,,,2,2,1,,1,,3,3,1,,1,4,1,5,13
COVID-19(U07.1-U07.2),5,3,8,8,7,15,21,16,37,10,5,15,13,15,28,7,5,12,90,67,157,42,34,76,45,45,90,20,27,47,69,41,110,595
Dengue con signos de alarma(A97.1),,1,1,,,,1,1,2,10,4,14,8,13,21,,2,2,9,13,22,4,7,11,17,7,24,6,2,8,8,11,19,124
Dengue grave(A97.2),,,,,,,1,,1,,,,,,,,,,,2,2,1,,1,,,,1,,1,,1,1,6
"Dengue no grave(A97.0, A97.9)",1,,1,7,7,14,18,26,44,38,42,80,18,27,45,6,3,9,43,79,122,15,12,27,28,42,70,7,10,17,12,12,24,453
Depresión(F32),,,,,,,1,,1,9,,9,12,3,15,2,5,7,9,5,14,4,3,7,11,,11,4,,4,16,5,21,89
Desnutrición leve(E44.1),1,3,4,4,3,7,1,3,4,2,3,5,1,1,2,,,,,,,,,,,,,,,,2,2,4,26
Desnutrición moderada(E44.0),,,,1,1,2,,1,1,,,,,,,,,,,,,,,,1,2,3,,,,3,1,4,10
Desnutrición severa(E40-E43),,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,1,,1,3
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,1,,1,5,,5,,,,,,,,,,,,,6
Diabetes mellitus tipo 1(E10),,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,,,,1,2,3,,1,1,55,72,127,55,41,96,148,156,304,66,47,113,98,78,176,820
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,,,,2,,2,23,,23,6,,6,17,,17,4,,4,4,,4,56
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,1,,1,3,,3,7,,7,4,,4,11,,11,3,,3,6,,6,35
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,4,5,,1,1,,3,3,11
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,1,1,1,,1,1,,1,3,7,10,4,1,5,21,20,41,12,20,32,121,110,231,322
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,3,2,5,7
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,,,2,6,8,6,14,20,32,46,78,23,27,50,83,112,195,351
Erisipela(A46),,,,,,,,,,,,,,,,,,,1,2,3,,2,2,,2,2,1,,1,4,6,10,18
Escabiosis(B86),1,,1,1,6,7,6,6,12,1,5,6,3,8,11,,1,1,8,2,10,2,,2,12,2,14,6,,6,11,10,21,91
Escarlatina(A38),,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,2,2,1,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,5
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,2,3,5,2,4,6,3,,3,1,1,2,,,,3,1,4,1,,1,3,,3,2,,2,2,,2,28
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1
Fiebre reumática aguda(I00-I02),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
Fiebre tifoidea(A01.0),,,,,,,,,,1,,1,,,,,,,,,,,,,2,,2,,,,,1,1,4
Gingivitis y enfermedad periodontal(K05),,,,13,7,20,33,28,61,93,100,193,121,100,221,72,56,128,422,297,719,173,122,295,404,317,721,194,173,367,477,386,863,3588
Hepatitis vírica A(B15),,,,,,,1,,1,,,,1,,1,,,,2,3,5,,,,,,,1,,1,,,,8
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,1,3,1,4,7
Herpes genital(A60.0),,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,1,1,3
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,,,,5,5,,18,18,,27,27,,52,52,102
Hipertensión arterial(I10-I15),,,,,,,,,,,,,,4,4,,6,6,74,98,172,46,60,106,114,144,258,42,59,101,115,101,216,863
Historia personal de lesión autoinfligida intencionalmente (intento de suicidio)(Z91.5),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
Infección asociada a la atención de la salud(S/C),4,,4,,1,1,1,2,3,,,,2,2,4,,,,12,9,21,2,2,4,14,14,28,7,5,12,47,35,82,159
"Infección de vías urinarias(N30, N34, N39.0)",14,9,23,122,36,158,287,70,357,163,61,224,198,59,257,93,20,113,1103,306,1409,523,137,660,1404,436,1840,701,233,934,2269,944,3213,9188
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,1,1,,1,1,,4,4,3,2,5,,5,5,,,,,2,2,18
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,,,,1,,1,9,1,10,4,1,5,2,1,3,2,,2,1,1,2,23
Infección por virus Zika(A92.5),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",54,53,107,261,351,612,330,401,731,293,357,650,224,217,441,92,44,136,799,690,1489,311,280,591,622,571,1193,275,213,488,716,430,1146,7584
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",447,499,946,2080,2356,4436,2797,2963,5760,2145,2369,4514,1334,1192,2526,408,312,720,3769,2957,6726,1487,1125,2612,3179,2336,5515,1372,951,2323,3035,1974,5009,41087
Influenza(J09-J11),3,2,5,5,7,12,12,11,23,12,7,19,11,17,28,1,,1,33,30,63,21,14,35,24,15,39,11,11,22,36,19,55,302
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,1,,1,27,4,31,17,4,21,40,8,48,17,5,22,67,36,103,226
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,2,3,,1,1,,1,1,7
Intoxicación alimentaria bacteriana(A05),,,,1,2,3,,5,5,1,3,4,1,,1,1,,1,1,,1,,,,1,,1,,,,1,,1,17
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,,,,,,2,2,4,1,2,3,1,1,2,8,4,12,1,,1,5,4,9,4,4,8,4,6,10,49
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,,,,2,1,3,,1,1,,,,2,4,6,1,3,4,,9,9,,2,2,,,,25
Leptospirosis(A27),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,2
Linfoma no Hodking(C82-C85),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,2
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1
Mordeduras por otros mamíferos(W55),,,,1,,1,3,1,4,2,2,4,3,2,5,,1,1,9,2,11,4,2,6,9,,9,3,3,6,9,2,11,58
Mordeduras por perro(W54),,,,2,2,4,2,8,10,4,18,22,6,19,25,3,6,9,26,19,45,17,3,20,34,26,60,5,5,10,14,29,43,248
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",1,,1,5,4,9,5,2,7,1,1,2,,1,1,,,,7,3,10,2,1,3,11,12,23,8,8,16,78,77,155,227
Obesidad(E66),,5,5,15,25,40,71,74,145,101,121,222,73,46,119,5,14,19,129,101,230,54,40,94,101,73,174,36,23,59,53,24,77,1184
Otitis media aguda(H65.0-H65.1),8,4,12,39,49,88,63,70,133,26,51,77,14,15,29,2,4,6,49,32,81,22,14,36,37,30,67,14,18,32,26,16,42,603
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",,1,1,10,9,19,25,29,54,19,25,44,11,7,18,3,4,7,17,7,24,9,6,15,12,12,24,7,14,21,18,11,29,256
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,1,1,3
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Otras rickettsiosis(A79),,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,2
